name,htmlcode
:angry_face:,&#x1f620
:face_with_rolling_eyes:,&#x1f644
:smiling_face_with_smiling_eyes:,&#x1f60a
:smiling_face_with_horns:,&#x1f608
:two_hearts:,&#x1f495
:/,:/
:skull_and_crossbones:,u2620
:trophy:,&#x1f3c6
:raised_fist:,u270a
:thumbs_up_sign:,&#x1f44d
:steam_locomotive:,&#x1f682
:high-heeled_shoe:,&#x1f460
:imp:,&#x1f47f
:pile_of_poo:,&#x1f4a9
:victory_hand:,u270c
:see-no-evil_monkey:,&#x1f648
:person_raising_both_hands_in_celebration:,&#x1f64c
:),:)
:dash_symbol:,&#x1f4a8
:clapping_hands_sign:,&#x1f44f
:bear_face:,&#x1f43
:smiling_face_with_open_mouth_and_cold_sweat:,&#x1f605
:loudly_crying_face:,&#x1f62d
:black_rightwards_arrow:,u27a1
:pouting_face:,&#x1f621
:smirking_face:,&#x1f60f
:double_exclamation_mark:,u203c
:heavy_black_heart:,u2764
:extraterrestrial_alien:,&#x1f47d
:thinking_face:,&#x1f914
:pistol:,&#x1f52
:crown:,&#x1f451
:blue_heart:,&#x1f499
:white_left_pointing_backhand_index:,&#x1f448
:construction_worker:,&#x1f477
:hear-no-evil_monkey:,&#x1f649
:face_with_tears_of_joy:,&#x1f602
:grinning_face_with_smiling_eyes:,&#x1f601
:thumbs_down_sign:,&#x1f44e
:glowing_star:,&#x1f31f
:fisted_hand_sign:,&#x1f44a
:white_right_pointing_backhand_index:,&#x1f449
:face_with_stuck-out_tongue_and_winking_eye:,&#x1f61c
:fire:,&#x1f525
:party_popper:,&#x1f389
:person_with_folded_hands:,&#x1f64f
:grinning_face:,&#x1f600
:smiling_face_with_open_mouth_and_smiling_eyes:,&#x1f604
:speak-no-evil_monkey:,&#x1f64a
:white_heavy_check_mark:,u2705
:exclamation_question_mark:,u2049
:collision_symbol:,&#x1f4a5
:no_entry_sign:,&#x1f6a
:spiral_calendar_pad:,&#x1f5d3
:ballot_box_with_ballot:,&#x1f5f3
:briefcase:,&#x1f4bc
:small_blue_diamond:,&#x1f539
:snowflake:,u2744
